Molecule	Protein	Gene	UniProt	C1	C2	C3	C4	C5	C8	C9	C11	C14	C15	C16	C17	C18	C19	C20	C21	C24	C25	C26	C27	P1	P2	P4	P6	P9	P11	P13	P17	P18	P19	P20	P21	P24	P25	P27	P28	P29	P30	P31	P32
15343-337	"Kininogen, HMW, Two Chain"	KNG1	P01042	2257.3	2032.4	1916.1	2201.8	2238.3	1817.8	1398.8	1991.7	1769.6	1181.4	1997	1184.5	1222.1	1977.5	1588.5	1561.4	2438.5	1313.8	1292.5	1644.5	3523.3	1786.3	1237.9	2081.1	2437.3	537.3	1386.3	1250.1	2191.7	2811.1	1763.3	1418.4	688.4	1280.8	1793.2	1449.7	2134.9	1739.9	1614.4	1556.7
15346-31	IFN-g	IFNG	P01579	379.1	400.2	437.2	384.3	453.9	336.8	492.5	416.6	407.3	419.3	450.4	300.1	406.3	399.2	388.5	650.2	440	315.6	344.8	383.6	283.9	358.8	580.4	330.6	311.1	367.4	333.3	349.7	348	412.5	349.1	356.4	369.1	334.9	513.9	342.4	558.9	565.6	367.6	404.5
15347-12	Hemopexin	HPX	P02790	132077.3	159765.4	157285.8	128931.4	141661.5	132906.6	112316.9	178959.7	162517.4	179426	151009.4	186617.8	169056.4	153154.5	166096.9	152498.9	165339.9	151518.9	159551.7	211591	133023.1	134943.6	153784.3	140271.8	143586.6	129968.6	155429.6	144395.3	147753.8	142784	155202	172157.9	162225.4	149665	172388.2	154600.2	169717.1	156370.9	168705.2	128061.9
15358-28	7B2	SCG5	P05408	19078.9	13107.7	16013.2	16883.8	24549.1	10089.1	16404	14535.3	14890.3	11052.2	10558.3	7825.6	9683.2	13743.6	9746	11446.2	9477.2	8298.8	14590.4	10097.1	10114.9	9324.2	27085.2	11349.1	10583.9	11261.6	8570.3	9641.2	21568.9	12079.9	8582.1	5717	13289.7	14475.3	20950.6	14458.4	14601.4	14640.5	14508.7	15353.3
15361-37	ANKR1	ANKRD1	Q15327	711	727.6	793.3	722.7	791.5	751.5	817	801.6	713.4	694.4	800.1	691	806.7	792	707.2	911.6	750.2	2379.8	763.3	688.6	668.2	756.5	822.3	703.8	723.7	703	765.7	775.8	948.2	740.2	698.4	894.2	688.2	813.5	767.8	780.7	768.2	706.6	702.8	724
15363-32	Apo A-V	APOA5	Q6Q788	8651.3	9137.7	14544.2	9680.8	10419.8	10256.7	8438.1	9835.1	11147.1	10415.2	12192.6	6758.6	11015.4	12510.6	18986.8	7456.5	25031.8	8295	7564.3	5657.2	19887.5	12390.5	14624.7	10959.8	4234.7	7116.3	10479.3	9822.8	12685.4	12081	18330.7	11072.4	12835.3	20414.3	23320.5	7005.4	6233.7	2753.5	10189.2	15424.3
15364-101	Apo C-I	APOC1	P02654	131293.8	124246.5	125228.8	123862	101154.5	119167.4	110190.9	149421.4	131346.7	137780	133912.5	153082.8	134660.4	138060.1	144614.1	102412.4	135496.3	120849.5	132355.1	171439.1	141651.5	125643.3	116285.5	120945.7	129032	127144.2	128548.6	139808.6	141448.4	105895.2	125688.9	124456.4	134956.7	115327.4	146179.5	124291	142584.4	128905.2	137677.8	115479.2
15365-41	BAI3	BAI3	O60242	510.2	477.9	425.4	472.6	587.6	458	455.6	464.3	440.8	492.2	433.8	470.3	458.6	453.6	467.3	448.4	450.2	518.5	441.1	485.9	486.7	535.8	470.5	508.3	472	491.1	488.3	483.3	463	461.8	510.7	561.7	466.8	452.9	454.8	436.5	453.3	463.2	424.8	452.6
15367-38	LPLC1	BPIFB1	Q8TDL5	2004.8	1428	2863.6	3017.3	1880.4	1989.4	1162.2	1470	1307	3453.9	1462.2	1231.4	2747.6	2197.5	2068.5	2831.9	1670.1	2604.8	2033.8	2250.7	1959.3	2550.2	2509	1415.1	1688.5	2380.8	3301.1	2920.5	1032.7	2409.6	1677.6	1698	1355.5	1039.8	2907.3	2869.4	2620.7	1620.3	2329.1	2287.8
15368-3	BMPER	BMPER	Q8N8U9	2097	1501.2	1185.4	1909.6	1508.9	1583.1	1584.8	1432.5	1595.2	1648.4	1041.5	2033.3	1764.3	1517	2322.8	1409.8	1458	1704.5	1789.1	2016.4	1843.1	1714.1	1411.4	2373.6	1821.2	1878	1619	1622	1885.2	1739.2	1677.1	1792.7	1970.2	1712.9	1404.9	1548.7	1706.8	1823.7	1491	1662.5
15370-5	BOLA1	BOLA1	Q9Y3E2	1154.5	736.5	478	869.6	661.4	1098.5	618	610.2	765.8	868.1	906.3	826	783.7	859.6	869.7	652.1	897.1	852.7	946.5	761	1020	901.1	620.4	788.7	802.4	823.8	1034.2	1363.3	1007.3	986	816.7	837.9	1023.1	865.7	1058.1	1046.3	739.4	991.4	1137.4	936.3
15372-43	BRD2	BRD2	P25440	476.4	467.3	560.6	447.5	562.6	486.7	464.6	532.2	453.3	407.8	568.8	490.2	400.3	450.8	449	570.8	458.9	547.5	502.7	598.9	451.3	468.1	479.9	424.7	503.8	491.2	586.8	553.5	453.3	418.3	438.9	492.2	394.1	508	418.1	490.1	543.4	413.5	476.4	461.8
15374-15	CA11 protein	GKN1	Q9NS71	1284.8	1226.1	1451.2	1331.8	2187.5	1227.1	1343.1	1324.5	1242.9	1204	1147.7	1171.8	1189.1	1763.3	1219.9	2366.9	1319.3	1542.2	1336	1198.2	1268.7	1337.4	1761.6	1413	1579.8	2281.7	1220.1	1925.1	2243.7	1268	1178.1	1325.2	1336.8	1382.1	1874.9	1768.9	1354.6	1253.7	1329.8	1342.1
15375-49	Carboxypeptidase B1	CPB1	P15086	2182.4	2725.6	2517.5	2792.1	2132.6	2856.7	2325.1	5419.9	2116.4	3856.8	1850.6	1683.7	1616.9	2168.4	1432	2932.8	4311.3	1591.1	1806.6	2250.8	4574.4	2776.1	3546	1449.9	3959.4	3003.7	4631.5	1646.9	1784.4	3775	1786.8	1581.8	1299.4	2408.8	5056.8	2981.2	4169.1	1124.8	2261.8	4414.6
15376-134	CATE	CTSE	P14091	958.9	1054.9	546	638.5	692.5	729.8	4419.9	757.2	691.2	1049	652.9	849.2	978.4	742	1168.1	950.3	1108.2	718.5	637.7	851.4	1042.6	746.8	713.4	621.7	993.5	800.5	872.7	685.3	578.9	987.4	991.8	1218.8	1129.2	1100.6	855.6	859.4	727.6	870.3	742.3	2251.8
15381-45	Discoidin domain receptor 2	DDR2	Q16832	499	473.8	362	514.1	589.7	454.9	447.1	488.2	486.2	477.8	345.9	519	541.9	574.3	495.9	375.5	451	489.3	679.5	3516.2	546.2	547.1	494.1	658.2	512.9	611.2	462.9	588.5	579.6	627.4	503.2	552	675.8	1034.2	621.6	498	543.5	769.2	541.5	566.4
15383-200	Endothelin 3	EDN3	P14138	1057.2	945.3	846.4	1170.7	750.2	1007.6	781.8	738.3	990.4	939.1	1546.6	1063.2	976	889.9	1346.3	2395	969.1	930.7	982.5	922.4	1029.9	937.9	821.2	1079.8	965.6	922.7	1299.8	960.4	839.9	1197.3	1460.5	1156.8	1002.7	716.8	919	801.9	1233.1	797.7	791.1	948.8
15384-15	KLOTHO	KL	Q9UEF7	2957.8	3516.5	1585.4	1962.9	1430.5	3661.4	2115.2	1999.5	2332.2	3797.8	1599.1	4144.5	2645.8	2790.9	3091	1519.5	4961.2	4798.9	6164.9	2680.9	2952.6	2792.5	3287.8	3186.5	3134.6	4155	2906.5	3238.9	3185.2	3293.5	4581.1	4339	2748.9	1753.3	3136.3	2011.5	2781.9	2769.8	1803.9	3659.1
15385-116	FABP2	FABP2	P12104	1256.7	2615.9	884.2	1844.3	2055.4	1411.2	2142.5	2076.9	2241.2	1321.7	1360.7	1319.4	1666.9	1853.4	1398.5	1741.2	1180.5	1207.5	1939.9	1730.4	1667.5	1212.2	2222.4	1368.5	1065	1346.9	2596	1484.9	953.8	1573	1113.6	1010.6	2472.2	1237.3	2361.3	798.2	1295.6	3645.8	3328.2	2182.1
15386-7	FABPA	FABP4	P15090	28582.1	17061.1	9282.3	21038.2	33140.4	19323	19429	13731.7	23226.3	11155.9	14451.5	23269.6	29968.7	38863.3	21012.8	19949	9830.1	21048.5	16207.7	20629.8	41777.2	20893.9	18224.5	35271.1	21333.8	31533.9	21230.3	35582.9	65875.9	35233.9	35712.9	33689.2	29785.4	20049.4	25540.7	22293	19818.2	20149.3	24412.2	46517.3
15387-44	Neuropilin-2	NRP2	O60462	16975.7	19416.2	18154.9	18657.7	21001.4	18802.5	18260.7	20551.5	20547.1	17241.9	19252.9	21401.7	17890.4	18134.7	20789.3	17777.8	19703.6	20125.2	17721.1	21375.7	20482.6	17886.8	20637.8	19586.4	19331.9	18250.2	19700.9	23158.9	19182	18432.9	24880.2	21655.2	19014.3	12242.4	20077.9	17832.9	20803.2	20190.5	19385	17440.7
15388-24	FcRIIIa	FCGR3A	P08637	5629.8	7710.1	4413.6	248.8	5796.3	258.9	7003.3	5004.3	199.2	164.6	5585.8	8261.4	226.8	240.4	5447.6	4843.3	4586.8	308	6354.5	5807.9	7958	193.9	11041.5	193.6	257.8	153	11240.4	14426.5	7218.6	251.7	15130.3	3870	7300.4	4929.8	4423.3	13168.4	4529.5	190.2	3586.5	5026.8
15389-1	FRDA	FXN	Q16595	221.4	217.2	215	337	563.8	243.4	239.8	221.2	209.6	222.8	229.5	239.3	302.1	246.7	246.7	244.7	233.8	264.5	208.6	231.5	254.4	244.4	233.6	270.8	228.9	253.7	219.2	212.6	206.9	212.6	230.5	257.9	212.1	213.9	216.1	211	227.2	207.8	199.3	218.8
15390-3	Galanin	GAL	P22466	1233	1131.7	1283.8	1223.6	1309.3	1089.2	1395.6	1303.5	1248.1	1088.5	1331.9	958.4	984.3	1147.7	1132.4	1784.7	987.9	867.1	1140	1001	915.6	958.7	1716.9	1011	1030	1054.5	1081.3	1009.2	1180.7	1158.7	997.8	1058.1	1039.3	1070.7	1398.7	1119.2	1340.1	1169	1084.9	1249
15391-114	GAS-6	GAS6	Q14393	1313.2	1224.4	1681.7	1288.1	1321.5	1156.6	1191.8	1337	1543	1621.6	1351.6	1592	1517	1213.4	1483.6	1928.6	1246.1	1470.9	1370.7	1292.1	1104.8	1266.4	1553.2	2034.5	1344.2	1086.7	1457.8	1451.3	1429.2	1375.8	1347.9	1665.5	1924.3	1004.9	1617.1	1311.8	2048.6	1664.2	1853.2	1668.9
15394-79	UNC5B	UNC5B	Q8IZJ1	8341.2	8183.8	4945	7835.6	8544.5	7926.6	6990.5	8418	8467.4	9787.4	5280.1	10558.1	8839.4	8908.5	9936.1	5298.1	8576.1	10033.9	7009.7	10701.8	11446.4	7856.6	8646.7	12969.9	9291	10908.2	8569.6	10857.9	9294.6	9776.9	8846.3	10122.4	12798.5	9433.4	10935	8644.3	10361.4	13949.4	8336.4	9066.7
15395-15	GST M1-1	GSTM1	P09488	563.8	788.8	490.4	602.3	568.4	532.3	741.5	760.9	540.5	626.2	671.4	543.7	1385	588.2	1112.7	583.7	983	712.2	932.9	475.5	550.1	556.6	778.9	549.3	814.4	846	597.9	595.5	725	502.6	858.5	446.9	530.9	1032.8	836.2	796.4	520.4	550.4	827.4	816.4
15398-2	HERV1	GFER	P55789	564.8	714.6	472.6	544.8	480.8	695.3	553.5	1129.5	812.1	807.9	666.4	767.4	713.8	852.9	637.7	534	743	761	1214.1	797.2	736.1	607.3	519.8	918.7	608.7	667.3	571.8	1306.4	1256.9	1223.2	826.7	589.7	720.7	649.4	738.1	762.1	579.9	648.8	898.6	551.3
15402-2	ID-1	ID1	P41134	832	818.9	800.5	902.2	818.7	937.7	1038.5	926.5	884.1	871.5	906.9	1094.1	816.2	1011.9	1914.3	883.4	5952.3	1030.5	1073.3	956.3	913.3	938.2	917.6	887.9	905.7	938.4	1001.7	1405.2	945.5	856.8	1248.8	914.1	930.2	1417.1	1121.4	933	982.9	847.6	984.9	861.1
15403-53	ID2	ID2	Q02363	744.1	597.3	735.7	850.4	565.6	828.9	465.7	522.8	572	647.5	628	550.4	529.1	519.9	574.8	613.7	471.1	541.5	572.1	478	639.8	683.8	469.2	453.6	530	610.6	920.8	881	472.1	520.8	692.4	914.8	471.6	594.7	499.2	529	469.4	455.4	505.7	576.5
15404-3	IFN21	IFNA21	P01568	273.7	352.6	331.4	282.6	285.8	319.2	290.1	345.1	375.4	280.6	238.3	312.7	375.1	300.7	278.2	256.3	332.3	388.9	277.9	491.5	273.5	370.1	452.4	342.1	321.4	273.7	363.7	466.7	296.6	338.4	1659.5	3031.5	301.6	63520.5	252.6	278.3	291.4	286.8	385	284.4
15405-23	IFNA4	IFNA4	P05014	265.9	291.5	341.9	262.3	322.5	285.5	261.1	324.7	371.7	264.8	273.2	306.8	290.5	310	266	265.4	261.8	267.6	262.3	263.8	289.8	332.8	292.2	273.1	301.3	268.6	319.7	305.2	273.2	266.8	276.5	290.3	251.2	319.9	295.6	399	247.7	281	289.7	284.7
15412-40	KIAP	BIRC7	Q96CA5	314.2	330.5	375.7	308.3	305	387.4	315.5	348.1	332.2	338.7	375.4	2751.1	438.2	335.5	532.1	327.5	76487.3	346.2	327	419.5	356.7	366.8	363.7	331.2	381.8	381.9	359.3	336.9	313.5	331.3	350.2	464.9	358	351	303.4	351.6	344.5	326.3	1006.3	330.6
15413-3	LCAT	LCAT	P04180	1272.2	1226.5	2169.6	1105.1	460.8	1595	474.6	845.9	1015.3	957.6	7999.5	732.7	633.5	841.5	1456.6	16304.9	526.3	543.7	1085.3	590.1	697.4	606.5	533.3	891.6	755.4	687.3	3968.9	968.7	482	1273.5	1415.7	1004.9	573.8	462	555.4	569.7	1056.8	556.6	642.6	946.4
15414-316	LDHA	LDHA	P00338	35290.5	30449.3	30261.6	29144	29025.1	39184	24523	25031.1	27988.6	33163.4	43716.7	34695.3	31758	28186.9	31866.2	30534.5	31163.3	35628.2	40073.7	31509.2	42749.3	29863	21414.6	32477.1	26565.6	28090.8	40564.1	45507.4	31299.2	29779.9	25000.8	29684.1	24982.9	23895.7	33507.5	30227	24715	28693.1	33139.8	28892.3
15416-54	LYG2	LYG2	Q86SG7	1196.8	1394.2	1950	1039.3	1539.1	1323.5	859.2	1889.1	1212.6	1089.1	1365.2	1464.2	1128.6	1221.2	1191.6	1373.8	1107.9	1323.7	1285.7	2039.1	1191.3	1209.4	1387.7	969.7	1404.1	1183.3	1873.8	1108.7	1172.8	1186.9	987.3	50366.2	1100	2014.5	1074.2	1587.4	1104.3	1046	1686.8	1336.4
15417-3	Maspin	SERPINB5	P36952	289.4	298.4	348	273.7	322	330.6	272.8	332.2	333.6	323	300.2	426.3	318.3	325.3	416	262.7	310.7	2774.2	303	412.7	339.8	340.1	340.6	405.3	376.6	415.2	383.9	308.6	302.7	335.6	307.4	451.1	355.6	333.6	301.9	400.1	389.4	862.5	443.8	333.3
15418-25	MK10	MAPK10	P53779	1920.9	1716.2	1839.5	2340.7	1850.8	2598	1903.3	3190.2	3675	3973.5	6686.7	4082.2	2590.3	2429	1244.2	2518	5593.7	4889.9	7690.8	3255.8	2128.7	1814.3	895.9	1098	2756.3	3072.9	3599.7	8192.8	2435	2116.1	2719.4	1194.6	2591	2911.5	1120	4622	1019.5	2458.2	3780.4	1835.3
15419-15	MMP20	MMP20	O60882	1040.4	903	1240.5	1003	1584.8	909.3	937.1	1000	940.6	822.2	871.6	701.4	881.3	916.7	769.1	1247.4	735.6	748	961.3	744.8	781.8	839.3	1592.8	1021.9	849.1	1244.9	829.5	1338	1066.7	843.1	682.8	828.2	807.6	988.9	1147	1234.4	944.8	918.4	1008.4	1005.5
15422-12	MYP2	PMP2	P02689	172	148.3	174.4	135.2	329	414.8	120.4	151.1	131.6	149	140.3	495.8	190.1	137.1	159.7	259.1	211.9	161.8	150.5	139.5	158.3	157.7	131.6	147.4	184.3	320.3	207.8	135.6	120.5	163.9	137.7	161.8	125.9	247.6	122.1	158.7	141.3	115.9	161.1	138.4
15426-5	NEUR1	NEU1	Q99519	2863.5	3172.3	1572.4	2879.5	3560.7	2404.5	2665.8	1993.1	2277.8	3246.4	2538.6	2566.4	3939	2841.9	3878.4	2224.6	4809.9	3857.4	3184.4	3311.3	3674.8	2711.8	3301	5175.8	3759.2	4144.2	2820.6	2524.6	3139.1	3067.2	3335.7	3055.3	2851.4	3304.5	2906.7	2061.6	5116.4	2577.2	2203	3069.2
15427-35	LOXL3	LOXL3	P58215	5471.3	2920.6	12064.6	3666.8	2687.5	7099	2713.3	5306.3	3648.2	3193	14377.7	3492	2661.1	5296.4	5172	12789.2	4447.4	2478.7	8087	2348.2	4813	3584.5	2872.5	2665.8	6001.1	4894.4	9411.7	6033.2	3404.5	2515	2687.9	2214.7	2332.3	9178.6	2536.5	9558.2	1956.3	2055.9	12482.5	3847.8
15430-165	OPT	OPTC	Q9UBM4	4229.1	3932	4202.2	4014.7	4395	4005	5126.4	4196.9	4410.2	3739	4618.1	2927	3376.3	3943.7	4114.9	6246.5	3410.9	3017.9	3736.8	3123.4	2846.1	3102.6	5668.4	3412.8	3576.5	3607.5	3626.9	3519.3	3936.8	3785.5	3342	3006.3	3426.6	3465.9	4358.3	3629.1	4851.1	4033.1	3595	4232.2
15431-31	OTCase	OTC	P00480	643.9	1086	1396.6	1509.8	1687.1	741.3	1369	1351.8	2094	1820.7	1370.5	631	1740.5	9282.9	1355.8	1016.9	4001.2	664.8	1442.5	1217.9	1074.1	735.8	855.7	4783.6	794.7	1019	1019.6	543.5	879.8	1232.6	1113.7	696.6	1503.2	2524.1	4476.4	2532.4	2574.8	550.4	10785.1	825.1
15432-1	Otoraplin	OTOR	Q9NRC9	734.4	837	1672.2	1151.2	794.4	890.3	737.5	721	668.5	781	734.9	826.8	878	771.1	818	770	8821.7	667.4	1087.9	726.3	734.2	890.5	806.2	1017.2	803	719.1	773	821.1	775.8	666.2	1057.4	2265.5	842.6	705	747.4	909.5	843.6	792.2	1039.2	723.2
15433-4	p60-Src	SRC	P12931	1629.8	1429.5	1297.3	2618.4	2293.3	2690.3	2751	6072.7	6442.1	7421.8	6892.4	5863.9	6350.5	3988.2	1030.1	973.5	8587.2	10274.7	13335.5	5687.6	3264	2793.3	954.2	827.8	3633.2	5054.7	1472.4	15781.8	2824.7	2162.5	3138.9	1195.4	3791	5421.1	570.4	9598.2	749	3669.6	7004.7	2072.4
15434-5	PNOC	PNOC	Q13519	357	368.7	466	383.9	376.7	359.9	398.4	389.4	376.3	401.1	438.1	378.7	568.9	401.4	368.2	496.6	357.2	320.8	343.1	369.6	330.4	378.7	425.3	448.1	381.5	365.6	427.8	13187.9	351	357.5	338.3	372.3	3013.5	407.1	356.4	353.2	416.6	358.9	363.9	367.2
15435-4	PNP	PNP	P00491	5279.5	4243.1	4282.3	4219	4769.1	9047.1	5497.6	4069.2	5685.9	5510.3	12803.7	6038.5	4221.1	3306.1	4279.1	5781.8	5339.5	5305.6	8058.4	4207.5	3882.8	3342.5	3225.4	2226.4	4215.6	5914.6	7005.1	11662.3	3866.5	5165.5	5110.1	4511.2	4356.7	4465.4	5261.9	6727	3329.2	4711	8004.6	4706.7
15436-40	RAMP1	RAMP1	O60894	639.1	468.2	553.1	468.1	556.6	492.8	429.8	483.4	442.5	439.2	448.7	521.9	574.5	449.8	480.3	458	479.6	537.6	495.4	986.8	561.5	933.3	514.4	490.8	532.5	462.4	506.4	505.8	448	445.5	589.3	564.6	484.8	510.8	419.9	489.9	452	445.7	508.1	532.3
15437-11	RAMP3	RAMP3	O60896	2941.7	1072.8	1260.1	1368	1203.3	1054.5	1128.9	1181.1	1102.7	1107.5	1015.4	1004.7	1699.1	1194.6	1052.6	1197.6	1024.1	1090.9	1188.8	1213.4	949.1	1234.2	1237.6	1138.3	970.5	1272.4	1016.5	1091.5	1076.3	1076.8	1135.2	1224.3	1091.5	1047.7	1147.7	1029.1	1144.1	1059	1063.1	1143.7
15439-21	RND3	RND3	P61587	532.8	536.1	641.9	520	763.4	579.7	556	747.2	536.2	482.6	644.3	540.6	512.6	568.7	558.5	729.6	518.8	504	531.8	716.2	553.6	529.9	525.9	523.1	641.6	565.3	595.4	554.7	585.9	510.3	3594.1	528.1	514.4	571.4	457.8	752.7	931.2	481.7	526.6	908.8
15440-57	NEC2	PCSK2	P16519	776.1	804.9	708.6	731.6	813.5	721.4	801.5	779.9	779.1	820.1	844	736.7	669.2	744.5	783.3	941.7	721.1	687.5	781.9	728.1	693.4	754.8	967.3	799.9	714.5	708.5	759.1	755.1	765.1	771.4	741.1	873.7	893.8	736.8	1309.8	692.3	814.5	756.1	1407.2	787.1
15441-6	SAP3	GM2A	P17900	1061.7	831	965.3	977.3	1207.9	1014.8	1107.2	986.8	972.5	1144.8	1149.7	1249.6	1136.8	943.5	1193.4	1416.6	985.5	1068.5	1154.8	1094	1066.4	1002.4	1128.6	2818	991.5	1652.6	1437.8	1088.1	1177.1	1139.8	1204.1	947.1	1339	1225.6	1167.7	1116.5	1003.5	1313.1	1265.9	1018.7
15444-45	SCCA2	SERPINB4	P48594	926.4	749.5	919.8	850.8	785.7	887.5	1260.1	752.6	786.5	766	787.9	1300	1283.9	1010.6	755.7	860.5	748.5	808.7	744.4	1116.5	766.3	1571.3	2088.7	863.2	2346.6	795.4	3297	1701.1	928.1	890.5	936	890.6	1647.5	781.8	755.3	736.3	2090.2	696.6	782.3	804.4
15446-25	SMDF	NRG1	Q02297	3750.3	4912.6	2950.2	2566.2	4005.9	4103.7	3356	3772.4	4148.4	3817.9	2864.9	2963.5	8123	6625.9	3424.5	1909.2	5562.8	4684.4	4150.9	4211.6	4626.2	4605.9	2710.3	3047.2	3171.1	3666.4	2156.8	3670	4213.9	3482.8	3075.8	3374.7	3964.3	4132	2762.6	3759	2610.3	3201.5	2869.5	3944.2
15447-45	Sorbitol dehydrogenase	SORD	Q00796	14088.1	16948	11755.1	13600.4	18194.2	17964.2	12892.3	8081.6	12950.9	16274.4	16250.1	9217.3	20774.1	17995.5	13739.5	9475.5	37960.4	12289	17825.5	12748.8	25649.9	10776.8	7672.8	21184.4	11214.8	17004.8	13609.1	20750	15890.1	19865.3	14838.3	13112.4	16500.5	18516.6	16241.8	5406.5	10216.2	13776.7	25287.7	12961.2
15448-47	SQSTM	SQSTM1	Q13501	1889.7	1385.5	2148.2	1672.1	1161.7	1972	900.2	1079.6	1704.6	1637.8	4630.4	1324.4	920.8	1634.7	2509.1	8555	599.1	1025.3	1314.5	816.6	1060.8	1013.9	610.1	2018	1122	1347	3769.5	1770.7	963.3	2365.8	2724.6	1838.4	1333.9	671.3	1080.6	763.3	1907.5	697.1	795.2	1565.4
15449-33	TIM-4	TIMD4	Q96H15	566.4	358.8	424.5	333.8	417.7	442.7	366.9	458.3	426.3	493.7	452.4	493.4	485.1	819.6	665.6	475.5	525.6	527.4	487.5	512.4	487.9	522.4	442.5	469.1	467.6	484.9	437.1	541.7	400.9	378.2	563.7	382.8	685.6	547.6	460.3	431	277.9	459.9	442.6	418.8
15452-5	5'-Nucleotidase	NT5E	P21589	9752.4	7092	4562.6	8993.5	10220.2	7985.6	7709.3	6378.1	9673.9	8200.7	5941.9	7395.9	9256.9	12250.5	8734.4	4612.8	11396.2	9413.1	8224.4	9511	12019.1	9431.6	7214.5	16108.6	8909.2	8790.6	6740.1	8191.6	9267.7	8614.5	8876.4	10696.9	9921.7	8941.8	10101.2	8123.7	9094.8	9295.6	9007.8	8429.2
15453-3	a1-Microglobulin	AMBP	P02760	87588.4	81729.4	91563.1	81000.7	84768.7	82694.1	89299.4	83678.6	84891.4	81192.5	80776.1	82920.3	74973.4	68566.9	83410.2	81803.1	75512.5	76883.4	86067.5	79041.9	100133.7	89386.5	81034.8	101581.9	87606.7	88612.5	97087.1	92069.6	83187.6	80537.6	67217.9	80341.8	79609.1	104850.9	79011.7	78151.5	87728.3	110871.1	89291.1	61908.5
15455-40	ADA15	ADAM15	Q13444	2029.8	2116.9	1785.5	1820.7	1697.9	1816	2003.5	1682	2011.7	1981.5	3309.2	2145.7	1846.2	2058.5	2789	2313.7	3138.9	1683.1	1641.2	2410.2	1762.9	1902.6	2076.3	1887	1793.4	1695.2	1828.7	1824.7	1975.3	2019.1	2409.5	4203.8	2310.5	2203.1	2196.3	1698.7	27924.3	2042	2067.9	2353.4
15457-14	Aminopeptidase N	ANPEP	P15144	7528.3	7435.3	9156.5	6941.9	1193.1	9927.9	1140.9	3768.3	6420.6	5933	25781	3972.9	2645.2	5624	12835.1	40834.3	1258.9	1687.1	5126.9	2657.3	3885.7	2334.2	1156.8	6549.1	3802.6	3924	24165.4	4361.9	1867.8	10873.1	11020.2	8133.5	3005.2	1286.1	2904.3	1483.7	8497.7	2536	1697.9	6342.8
15460-9	CD26	DPP4	P27487	1707	1477.7	1659.1	1779.1	1785.2	1410.2	1903.1	1557.2	1499.5	1492.6	1524.7	1301.8	1252.6	1544.3	1509.2	1664.9	1394.7	1410.3	1645.1	1283.7	1361.7	1367.5	2450.2	1414.5	1383.4	1398	1250.5	1495.6	1836.8	1382.9	1270.1	1136.8	1417.5	1456.1	1795.4	1519.4	1666.5	1501.7	1561.4	1595.4
15462-28	CD8A	CD8A	P01732	12511	12613.2	4865.7	14599.5	10456.2	12707.4	13977.1	12633.2	20126.9	16437.7	7603.9	16299.5	8256	11154.7	16491.9	6221	23349.3	27719.1	12010.3	19869.7	17233.3	15697.7	14924.1	16695.6	10445	17312.1	11632.7	12471.1	17058.7	14594.7	17781.2	11503.7	17675	15644.9	14673.8	10805.5	24210.6	16454.2	11513.4	12693.6
15465-79	CNPY4	CNPY4	Q8N129	4017.8	5260.4	5897.9	5664.1	3536.4	4038.6	3613	6617.4	7705.5	6657.9	10901.3	8001	6425.3	5178.1	3767.9	5900.4	5837.7	7979.2	10154.2	6818.7	4727.6	4892.8	3600.3	2132.6	4629.6	6040.3	6748.3	13676.8	4592.4	5086.7	5437.8	3671.9	5659.6	5174.2	3367.9	6856.6	2243.8	5631	8612.6	5602.4
15466-30	CO9A1	COL9A1	P20849	272.4	182.1	165.8	185.5	194.8	168.8	168.7	202.4	238.7	192	161.3	717.8	283.1	180.2	187.9	170.6	233.7	196.1	181.8	182.7	220.3	213	212.9	217.8	201.8	205.5	223.7	206.1	211	219	249.4	207.7	173.2	201.5	184.1	202.3	1824.1	338	237.9	181.6
15467-10	CTHR1	CTHRC1	Q96CG8	40583.1	45512.5	38632.8	34688.1	37461.2	31939.8	41173.1	39187.5	46959.4	42368.9	37907.6	41379	47822.4	32750.3	44255.6	34042.7	26094	36752	36459.5	39875.7	47180.7	36333.7	31532	32614.3	45714.8	59333.8	41621.4	38925.7	43597.9	58973.5	31606.8	40758.4	37244.7	41096.7	38973.8	40102.5	26860.9	60036.6	32286.6	42100.3
15468-14	FHR1	CFHR1	Q03591	34746.2	40626.3	34645.4	40631.3	51544.5	38928.9	60488.2	29711	36619.9	32909.2	41457.2	31655.4	36380.5	38736.3	28220.7	40296	32633.1	33795.8	35460.6	34377.1	44136	42925.6	30996.9	40873.1	29119.9	36963.9	28681.2	39094.4	45963.2	36558.4	33920.6	28233.4	35367.4	38822.5	39470.2	43451.4	40142.3	38916.4	38664.5	43560
15470-11	Hexosaminidase B	HEXB	P07686	671.1	1145.5	794.5	746.5	1198.9	813.4	1461.9	653.9	654.9	784.6	1163.3	511.2	1252.8	876.3	745.1	1182	1161.6	758.5	703.8	840.6	710.1	733.2	788.9	854.8	1220.2	739.6	928.3	752.4	767.6	1035.3	623.7	628.6	1183.5	755.8	794.2	801.9	710.6	910.7	731	877.4
15471-29	LIPR2	PNLIPRP2	P54317	741.3	326.5	879.6	654.7	436.5	709.9	583.2	1493.5	644.9	1127	490.7	683.8	924.8	1043.5	529	879.6	2439	767.4	623	519.3	953.6	696.2	957.4	2064.3	1400.3	261.7	1811.2	485.2	396.5	1052	820	553.9	421.2	766.1	1091.4	1859	1023.3	423.6	281.4	253.1
